course_id,course_name,teacher_id
C138,艺术鉴赏1,T053
C139,音乐4,T093
C140,数学3,T077
C141,体育3,T014
C142,人工智能概论5,T028
C143,化学4,T029
C144,物理3,T072
C145,音乐1,T098
C146,政治5,T029
C147,通用技术5,T099
C148,经济学原理5,T087
C149,哲学基础5,T004
C150,经济学原理3,T004
C151,生物3,T090
C152,创新思维3,T044
C153,音乐1,T024
C154,化学5,T085
C155,信息技术1,T019
C156,社会实践1,T012
C157,社会实践5,T028
C158,信息技术4,T059
C159,美术2,T048
C160,体育3,T100
C161,人工智能概论5,T011
C162,数学2,T021
C163,创新思维5,T007
C164,艺术鉴赏1,T035
C165,心理健康4,T063
C166,经济学原理4,T054
C167,政治2,T097
C168,编程入门1,T045
C169,通用技术1,T037
C170,艺术鉴赏5,T063
C171,编程入门3,T006
C172,地理4,T077
C173,数学1,T027
C174,体育2,T099
C175,化学3,T038
C176,美术1,T001
C177,生涯规划4,T023
C178,化学4,T069
C179,形体与健康2,T065
C180,数据科学基础3,T010
C181,信息技术1,T056
C182,语文4,T010
C183,美术5,T055
C184,人工智能概论4,T091
C185,哲学基础4,T038
C186,物理4,T003
C187,美术2,T080
C188,心理健康3,T012
C189,通用技术1,T032
C190,通用技术5,T052
C191,编程入门1,T051
C192,体育3,T029
C193,美术2,T010
C194,编程入门1,T068
C195,编程入门2,T100
C196,音乐3,T094
C197,哲学基础2,T031
C198,物理2,T033
C199,历史2,T078
C200,化学1,T023
C201,创新思维4,T060
C202,创新思维5,T098
C203,人工智能概论4,T088
C204,人工智能概论5,T042
C205,哲学基础3,T020
C206,心理健康1,T061
C207,心理健康3,T036
C208,人工智能概论1,T046
C209,编程入门1,T040
C210,心理健康4,T005
C211,数学3,T037
C212,英语1,T079
C213,经济学原理5,T050
C214,心理健康5,T071
C215,社会实践1,T058
C216,人工智能概论2,T042
C217,经济学原理4,T065
C218,化学1,T058
C219,物理3,T092
C220,英语5,T083
C221,生物1,T032
C222,形体与健康4,T057
C223,编程入门5,T079
C224,生物3,T048
C225,体育4,T053
C226,创新思维3,T087
C227,经济学原理1,T081
C228,哲学基础3,T009
C229,美术1,T072
C230,艺术鉴赏4,T037
C231,政治5,T020
C232,美术1,T075
C233,艺术鉴赏2,T045
C234,体育4,T017
C235,经济学原理1,T040
C236,数据科学基础4,T083
C237,美术2,T086
C238,形体与健康5,T012
C239,哲学基础4,T066
C240,音乐1,T047
C241,体育2,T028
C242,美术4,T025
C243,地理2,T020
C244,英语3,T013
C245,编程入门5,T095
C246,编程入门1,T085
C247,美术5,T017
C248,经济学原理4,T020
C249,生物2,T089
C250,创新思维5,T022
C251,社会实践4,T006
C252,通用技术3,T087
C253,社会实践2,T057
C254,经济学原理3,T097
C255,社会实践4,T030
C256,数据科学基础2,T040
C257,生涯规划2,T048
C258,艺术鉴赏5,T057
C259,心理健康3,T100
C260,信息技术5,T068
C261,通用技术2,T026
C262,经济学原理2,T033
C263,数学4,T048
C264,数据科学基础1,T092
C265,编程入门1,T037
C266,英语2,T035
C267,心理健康5,T019
C268,通用技术1,T029
C269,心理健康3,T004
C270,通用技术1,T051
C271,编程入门3,T031
C272,信息技术1,T048
C273,地理1,T041
C274,物理3,T019
C275,化学1,T037
C276,生涯规划2,T098
C277,形体与健康4,T058
C278,经济学原理1,T011
C279,语文3,T028
C280,化学5,T094
C281,经济学原理5,T055
C282,物理3,T031
C283,体育1,T007
C284,地理4,T082
C285,经济学原理4,T009
C286,物理4,T077
C287,数据科学基础1,T081
C288,编程入门5,T031
C289,形体与健康2,T038
C290,通用技术1,T079
C291,音乐2,T074
C292,通用技术2,T086
C293,艺术鉴赏1,T068
C294,音乐1,T068
C295,数据科学基础5,T065
C296,数据科学基础1,T050
C297,生涯规划1,T082
C298,信息技术3,T033
C299,社会实践1,T046
C300,英语3,T031
